timestamp,funding_rate_avg,funding_rate_deviation,open_interest_total,orderbook_imbalance,market_depth_2%
2017-01-01 00:00:00,0.0017047911875839254,0.0009690041580708718,4640458.776421991,-0.1378577953006791,471.54738630652116
2017-01-01 04:00:00,-0.005665847142096212,0.0014687461490963207,4927826.49986959,0.08709829397801039,1620.5020816712743
2017-01-01 08:00:00,-0.011779192361359648,0.001514395303510597,4565735.357718423,-0.12344702019858395,1462.1944823403794
2017-01-01 12:00:00,0.0069175955861638765,0.0009415808557027309,5096105.448611327,0.09800578321901449,2115.6881136436386
2017-01-01 16:00:00,0.006892857109072912,0.0015306767664341628,4262591.577921451,0.3209253675923824,2291.4644690603695
2017-01-01 20:00:00,0.0009104257958178772,0.0015635283514169455,5373543.28655624,-0.33592105276210826,2759.825468435722
2017-01-02 00:00:00,-0.01525797828095975,0.0010395079025177312,5222171.754771236,-0.07009087425504663,1298.5100129943792
2017-01-02 04:00:00,-0.01314732923871392,0.0012366394217137946,4916077.404544115,-0.041589176251729795,1414.2266760735147
2017-01-02 08:00:00,-0.020531024839604867,0.002171189386358865,5216386.9661295675,-0.006232485097825662,1547.1942380989565
2017-01-02 12:00:00,-0.02994290326597687,0.0013023670402149135,4032052.3478197264,0.060518073509296666,1812.0530946053336
2017-01-02 16:00:00,-0.03348510506810358,0.0018769248465717624,5020861.828066658,0.28137313194380986,1774.759818531817
2017-01-02 20:00:00,-0.03530513380647627,0.0006396021756547642,4541326.735698126,-0.06867535047965931,2216.082701728116
2017-01-03 00:00:00,-0.036935761537607706,0.0004251786145834705,5892213.412778106,0.14713266446381437,3000.761643775041
2017-01-03 04:00:00,-0.02584894825405999,0.0008266485311425014,4634136.709238923,-0.052927400684842495,1503.0622160725666
2017-01-03 08:00:00,-0.0152687214175295,0.002486848360534935,4890730.458353179,0.032600679130780366,2484.950850838764
2017-01-03 12:00:00,-0.015598150386488985,0.0016996733687008262,4955142.588668493,-0.10235154910443074,2729.779909294582
2017-01-03 16:00:00,-0.022240300737442875,0.0008704226951590433,4816112.110447585,0.11569999141856345,2625.4552382009533
2017-01-03 20:00:00,-0.024041389772979007,0.0007461400479024723,4376830.176517236,-0.1713526893438666,2672.733391196795
